"Target String","URL Safe String","User","Hub","Hub Type","Event Title","Event Locale"
".com",".com","Kara Boehm","Kara Boehm","PERSONAL","Family Love Letter","en_US"
".com",".com","Richard Gress","The Gress Lodge Group","PERSONAL","The Big “D”","en_US"
".com",".com","Kathryn Hayes","Kathryn Hayes","PERSONAL","Wine, Women, & Wealth","en_US"
".com",".com","Kathryn Hayes","Kathryn Hayes","PERSONAL","Estate Planning","en_US"
".com",".com","Kathryn Hayes","Kathryn Hayes","PERSONAL","Estate Planning","en_US"
".com",".com","Mark Borcherding","Borcherding Investment Group","PERSONAL","2018 Outlook and Emerging Investing Themes","en_US"
".com",".com","Paul DeBey","The DeBey Cassaday Group","PERSONAL","2018 Outlook and Emerging Investing Themes","en_US"
".com",".com","Paul DeBey","The DeBey Cassaday Group","PERSONAL","The Future of Driving","en_US"
".com",".com","Mari Bunney","Mari Bunney","PERSONAL","Mythbusters: Wine and Wealth Edition","en_US"
".com",".com","David Milowe","Milowe Wealth Management Group","PERSONAL","2018 Tax Conference Call on April 17, 2018","en_US"
".com",".com","Julie A Schmiel","The Schmiel Wealth Management Group","PERSONAL","Women, Wine and Wall Street","en_US"
".com",".com","John Larsen","The Larsen Group","PERSONAL","Long-Term Care for Women","en_US"
".com",".com","John Larsen","The Larsen Group","PERSONAL","Long-Term Care for Women","en_US"
".com",".com","John Larsen","The Larsen Group","PERSONAL","Long-Term Care for Women","en_US"
".com",".com","Dusty J Tripp","Dusty J Tripp, CFP®","PERSONAL","Estate Planning Basics","en_US"
".com",".com","Rick S Friedman","The Friedman-Sepolio Wealth Management Group","PERSONAL","Understanding Today’s Retirement Challenges","en_US"
".com",".com","Rick S Friedman","The Friedman-Sepolio Wealth Management Group","PERSONAL","Understanding Today’s Retirement Challenges","en_US"
".com",".com","Matthew G Lanham","GEN Group","PERSONAL","Shredding Event","en_US"
".com",".com","John F. Carroll","John Carroll, CRPC®","PERSONAL","A Wealth of Health","en_US"
".com",".com","Larry Prutch","The PVG Group","PERSONAL","Investment Seminar at Rolling Hills Country Club","en_US"
".com",".com","Linda Sama","Linda Sama, CFP®","PERSONAL","Money Matters for Women","en_US"
".com",".com","Scott Heck","The JMS Group","PERSONAL","Taking Control of Healthcare in Retirement","en_US"
".com",".com","Pamela Carty","Bend","OFFICE","Investment trends, a mid-year outlook for the markets","en_US"
".com",".com","Pamela Carty","Pamela Carty, AWM","PERSONAL","Investment trends, a mid-year outlook for the markets","en_US"
".com",".com","Bob Kenny","Bob Kenny","PERSONAL","Healthcare symposium","en_US"
".com",".com","John Gerold","The Gerold Group","PERSONAL","Planning for Health Care in Retirement: A guide to covering your medical expenses","en_US"
".com",".com","John Gerold","The Gerold Group","PERSONAL","Planning for Health Care in Retirement: A guide to covering your medical expenses","en_US"
".com",".com","John Gerold","The Gerold Group","PERSONAL","Planning for Health Care in Retirement: A guide to covering your medical expenses","en_US"
".com",".com","John Gerold","The Gerold Group","PERSONAL","Social Security: Options to help maximize your benefits","en_US"
".com",".com","John Gerold","The Gerold Group","PERSONAL","Social Security: Options to help you maximize your benefits","en_US"
".com",".com","David Milowe","Milowe Wealth Management Group","PERSONAL","Dial In To Our June Lunchtime Client Conference Call!","en_US"
".com",".com","David Milowe","Milowe Wealth Management Group","PERSONAL","Dial In To Our June Lunchtime Client Conference Call!","en_US"
".com",".com","David Milowe","Milowe Wealth Management Group","PERSONAL","Dial in to our June lunchtime client conference call","en_US"
".com",".com","Linda Sama","Linda Sama, CFP®","PERSONAL","Women and Divorce — How to plan for financial independence","en_US"
".com",".com","Field Digital","Testy McTestalot","PERSONAL","A Wealth of Health","en_US"
".com",".com","David Milowe","Milowe Wealth Management Group","PERSONAL","Dial in for our June lunchtime client conference call","en_US"
".com",".com","Robert J Schneebeck","Schneebeck Hyams Investment Group","PERSONAL","Power Lunch: Why you should care about rising interest rates and global investing","en_US"
".com",".com","Online Solutions","The Hershey Fitzsimmons Group - tombstone","PERSONAL","Women and Money","en_US"
".com",".com","Rick S Friedman","The Friedman-Sepolio Wealth Management Group","PERSONAL","Understanding Today's Retirement Challenges","en_US"
".com",".com","Rick S Friedman","The Friedman-Sepolio Wealth Management Group","PERSONAL","Understanding Today's Retirement Challenges","en_US"
".com",".com","Rick S Friedman","The Friedman-Sepolio Wealth Management Group","PERSONAL","Understanding Today's Retirement Challenges","en_US"
".com",".com","Andrew J. Hensen","Hensen Webb Group","PERSONAL","Women's Lunch and Learn","en_US"
".com",".com","Peggy Ginder","Peggy Ginder, CFP®","PERSONAL","Retire on Purpose","en_US"
".com",".com","Nancy Harris","Nancy Harris","PERSONAL","Retirement Planning Seminar","en_US"
".com",".com","Nancy Harris","Nancy Harris","PERSONAL","Retirement Planning Seminar","en_US"
".com",".com","Online Solutions","Seattle 1","OFFICE","Recruiting Round tTable - Seattle","en_US"
".com",".com","Richard Gress","The Gress Lodge Group","PERSONAL","Market Update: Boxed Lunch and Learn","en_US"
".com",".com","Brandon Calhoun","Brandon Calhoun, CRPC®","PERSONAL","How to get the most from Social Security","en_US"
".com",".com","AnnMarie Etergino","The Etergino Group","PERSONAL","Are you prepared for long-term care costs?","en_US"
".com",".com","Mark Borcherding","Borcherding Investment Group","PERSONAL","Introduction to Owl Rock Webinar","en_US"
".com",".com","Alexandra Mass","The Droster Team","PERSONAL","Sips, Snaps and Savvy Investors","en_US"
".com",".com","Mari Bunney","Mari Bunney","PERSONAL","All About Swings","en_US"
".com",".com","Joe Bennick","Joe Bennick","PERSONAL","Financial Literacy - Making your money work for you","en_US"
".com",".com","Ryan L. Clements","Ryan L. Clements","PERSONAL","The Fundamentals of Success","en_US"
".com",".com","Karen English","Monarch Financial Advisors","PERSONAL","The Fundamentals of Success","en_US"
".com",".com","Timothy McEwen","The McEwen Group","PERSONAL","Open House","en_US"
".com",".com","Teresa Darnielle","Teresa Darnielle, CFP®","PERSONAL","How do I wear this?","en_US"
".com",".com","Linda Sama","Linda Sama, CFP®","PERSONAL","Money Matters for Women","en_US"
