"Target String","URL Safe String","Name","Disclosure","Type"
".ca",".ca","","<p>1.<a href=""https://www.nytimes.com/2020/01/21/upshot/womens-gains-in-the-work-force-conceal-a-problem.html/ "" target=""_blank"">https://www.nytimes.com/2020/01/21/upshot/womens-gains-in-the-work-force-conceal-a-problem.html/&nbsp;</a></p>

<p>2.<a href=""https://www.catalyst.org/research/historical-list-of-women-ceos-of-the-fortune-lists-1972-2020/ "">https://www.catalyst.org/research/historical-list-of-women-ceos-of-the-fortune-lists-1972-2020/&nbsp;</a></p>

<p>3.<a href=""https://hbr.org/2019/02/research-based-advice-for-women-working-in-male-dominated-fields "">https://hbr.org/2019/02/research-based-advice-for-women-working-in-male-dominated-fields&nbsp;</a></p>

<p>4.<a href=""https://www.aamc.org/data-reports/workforce/interactive-data/active-physicians-sex-and-specialty-2017"" target=""_blank"">https://www.aamc.org/data-reports/workforce/interactive-data/active-physicians-sex-and-specialty-2017</a></p>","CUSTOM"
".ca",".ca","","<p>1.<a href=""https://www.nytimes.com/2020/01/21/upshot/womens-gains-in-the-work-force-conceal-a-problem.html/ "" target=""_blank"">https://www.nytimes.com/2020/01/21/upshot/womens-gains-in-the-work-force-conceal-a-problem.html/&nbsp;</a></p>

<p>2.<a href=""https://www.catalyst.org/research/historical-list-of-women-ceos-of-the-fortune-lists-1972-2020/ "">https://www.catalyst.org/research/historical-list-of-women-ceos-of-the-fortune-lists-1972-2020/&nbsp;</a></p>

<p>3.<a href=""https://hbr.org/2019/02/research-based-advice-for-women-working-in-male-dominated-fields "">https://hbr.org/2019/02/research-based-advice-for-women-working-in-male-dominated-fields&nbsp;</a></p>

<p>4.<a href=""https://www.aamc.org/data-reports/workforce/interactive-data/active-physicians-sex-and-specialty-2017"" target=""_blank"">https://www.aamc.org/data-reports/workforce/interactive-data/active-physicians-sex-and-specialty-2017</a></p>","CUSTOM"
".ca",".ca","","<ol>
	<li>EnergyNow Media: https://energynow.ca/2021/05/suncor-energy-aims-for-net-zero-emission-target-by-2050/, accessed August 1, 2021</li>
	<li>Net Zero Asset Managers Initiative: https://www.netzeroassetmanagers.org/q-and-a, accessed August 1, 2021</li>
	<li>Net Zero Asset Managers Initiative: https://www.netzeroassetmanagers.org/q-and-a, accessed August 1, 2021</li>
	<li>Forbes, &ldquo;Why this proxy season is a record breaker for climate proposals&rdquo;: https://www.forbes.com/sites/mindylubber/2021/05/14/why-this-proxy-season-is-a-record-breaker-for-climate-proposals/?sh=55cc682b54d4, accessed August 1, 2021</li>
</ol>

<p>Due diligence processes do not assure a profit or protect against loss. Like any type of investing, ESG investing involve risks, including possible loss of principal.</p>","CUSTOM"
".ca",".ca","","<ol>
	<li>EnergyNow Media: https://energynow.ca/2021/05/suncor-energy-aims-for-net-zero-emission-target-by-2050/, accessed August 1, 2021</li>
	<li>Net Zero Asset Managers Initiative: https://www.netzeroassetmanagers.org/q-and-a, accessed August 1, 2021</li>
	<li>Net Zero Asset Managers Initiative: https://www.netzeroassetmanagers.org/q-and-a, accessed August 1, 2021</li>
	<li>Forbes, &ldquo;Why this proxy season is a record breaker for climate proposals&rdquo;: https://www.forbes.com/sites/mindylubber/2021/05/14/why-this-proxy-season-is-a-record-breaker-for-climate-proposals/?sh=55cc682b54d4, accessed August 1, 2021</li>
</ol>

<p>Due diligence processes do not assure a profit or protect against loss. Like any type of investing, ESG investing involve risks, including possible loss of principal.</p>","CUSTOM"
".ca",".ca","","<ol>
	<li>EnergyNow Media: https://energynow.ca/2021/05/suncor-energy-aims-for-net-zero-emission-target-by-2050/, accessed August 1, 2021</li>
	<li>Net Zero Asset Managers Initiative: https://www.netzeroassetmanagers.org/q-and-a, accessed August 1, 2021</li>
	<li>Net Zero Asset Managers Initiative: https://www.netzeroassetmanagers.org/q-and-a, accessed August 1, 2021</li>
	<li>Forbes, &ldquo;Why this proxy season is a record breaker for climate proposals&rdquo;: https://www.forbes.com/sites/mindylubber/2021/05/14/why-this-proxy-season-is-a-record-breaker-for-climate-proposals/?sh=55cc682b54d4, accessed August 1, 2021</li>
</ol>

<p>Due diligence processes do not assure a profit or protect against loss. Like any type of investing, ESG investing involve risks, including possible loss of principal.</p>","CUSTOM"
".ca",".ca","","<ol>
	<li>EnergyNow Media: https://energynow.ca/2021/05/suncor-energy-aims-for-net-zero-emission-target-by-2050/, accessed August 1, 2021</li>
	<li>Net Zero Asset Managers Initiative: https://www.netzeroassetmanagers.org/q-and-a, accessed August 1, 2021</li>
	<li>Net Zero Asset Managers Initiative: https://www.netzeroassetmanagers.org/q-and-a, accessed August 1, 2021</li>
	<li>Forbes, &ldquo;Why this proxy season is a record breaker for climate proposals&rdquo;: https://www.forbes.com/sites/mindylubber/2021/05/14/why-this-proxy-season-is-a-record-breaker-for-climate-proposals/?sh=55cc682b54d4, accessed August 1, 2021</li>
</ol>

<p>Due diligence processes do not assure a profit or protect against loss. Like any type of investing, ESG investing involve risks, including possible loss of principal.</p>","CUSTOM"
