"Target String","URL Safe String","User","Hub","Hub Type","Blog Title","Blog Locale"
".ca",".ca","","Insights Articles (blog posts)","MARKETING","Tackling diversity in the boardroom with Forbes and theBoardlist","en_US"
".ca",".ca","","Insights Articles (blog posts)","MARKETING","Plastics and recycling: a material issue for investors","en_US"
".ca",".ca","","Insights Articles (blog posts)","MARKETING","Health and wealth: Why investing in your wellness now will help you in the future","en_US"
".ca",".ca","","Insights Articles (blog posts)","MARKETING","Collaborative philanthropy: How the next generation is teaming up to create lasting change","en_US"
